Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IWF,iShares Russell 1000 Growth ETF,Equity,"$50,931,971,500.00 ",3.55%,"1,366,005",$182.16 ,0.40%,No,No,1.60%,5.05%,34.47%,75.13%,106.63%,"($448,523,320.50)","($271,419,930.00)","($686,303,280.50)","($1,930,803,885.50)","($3,403,373,381.50)","($2,125,917,008.00)",Large Cap Growth Equities,2000-05-22,0.19%,TD Ameritrade,$1.75 ,2019-12-16,$0.45 ,0.96%,29.21,1.04,531,37.25%,35%,15%,1099,$172.06 ,$182.76 ,$181.54 ,$182.75 ,73.28,A+,A,A-,A-,A,A-,A,5.91,73.96%,61.41%,40.18,8.86%,5.80%
VUG,Vanguard Growth ETF,Equity,"$48,894,526,779.00 ",3.78%,"662,170",$189.06 ,0.29%,No,No,1.60%,5.48%,35.70%,70.78%,96.70%,"$73,826,564.51 ","($5,129,208.32)","($105,332,489.56)","$2,121,474,487.46 ","$6,906,237,808.38 ","$11,188,450,717.49 ",Large Cap Growth Equities,2004-01-30,0.04%,2 Platforms,$1.74 ,2019-12-24,$0.51 ,0.92%,30.5,1.06,276,40.74%,35%,15%,1099,$177.66 ,$190.02 ,$188.50 ,$189.65 ,73.41,A-,A,A,B,B+,A-,A,5.85,71.39%,59.91%,62.83,9.07%,4.98%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$48,622,147,200.00 ",0.69%,"2,990,898",$84.43 ,0.43%,No,No,1.14%,0.94%,16.06%,27.74%,62.83%,"($524,594,338.50)","($21,032,018.50)","($525,447,515.50)","$2,372,150,989.00 ","$13,627,298,617.50 ","$48,260,213,632.00 ",Small Cap Growth Equities,2000-05-22,0.07%,2 Platforms,$1.21 ,2019-12-16,$0.41 ,1.44%,17.63,1.13,603,4.93%,35%,15%,1099,$83.07 ,$84.30 ,$83.93 ,$84.84 ,64.03,A-,A,A-,B+,B+,B+,B+,3.46,16.91%,11.85%,116.94,4.10%,5.69%
IWM,iShares Russell 2000 ETF,Equity,"$47,203,650,440.00 ",1.03%,"14,920,467",$167.37 ,0.48%,No,No,1.25%,1.42%,18.24%,27.67%,53.45%,"($1,224,261,252.50)","($579,127,372.50)","($1,165,273,662.50)","($818,312,349.00)","$1,089,379,878.00 ","$5,955,370,276.50 ",Small Cap Growth Equities,2000-05-22,0.19%,N/A,$2.09 ,2019-12-16,$0.60 ,1.25%,17.71,1.16,1991,2.81%,35%,15%,1099,$164.16 ,$167.03 ,$166.36 ,$168.17 ,67.12,B+,A+,A-,C,C+,B,A,3.39,12.70%,10.99%,151.98,3.93%,5.34%
GLD,SPDR Gold Trust,Commodity,"$43,734,878,846.00 ",2.55%,"6,988,208",$146.54 ,0.58%,No,No,-0.22%,5.41%,20.23%,28.31%,24.22%,"($930,071,794.00)","($601,821,341.00)","($454,765,460.00)","$3,803,179,897.00 ","$3,885,465,720.00 ","$8,276,985,060.00 ",Precious Metals,2004-11-18,0.40%,N/A,$0.00 ,N/A,N/A,0.00%,0,-0.2,1,100.00%,35%,28%,1099,$137.40 ,$149.68 ,$146.00 ,$146.91 ,65.48,A-,A+,A-,B,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VIG,Vanguard Dividend Appreciation ETF,Equity,"$42,687,271,020.00 ",1.86%,"1,123,603",$126.98 ,0.48%,No,No,1.48%,3.11%,28.73%,56.57%,77.11%,"($158,277,308.85)","($112,066,517.91)","($25,707,233.46)","$4,421,204,286.03 ","$8,221,897,531.83 ","$8,077,308,925.32 ",Large Cap Growth Equities,2006-04-27,0.06%,3 Platforms,$2.13 ,2019-12-18,$0.60 ,1.69%,25.5,0.88,182,35.11%,35%,15%,1099,$123.10 ,$126.68 ,$126.52 ,$127.33 ,69.7,A,A,A,B,B+,B+,B,6.75,91.23%,82.06%,240.99,11.23%,5.96%
IWD,iShares Russell 1000 Value ETF,Equity,"$42,044,627,900.00 ",0.53%,"1,902,597",$137.21 ,0.02%,No,No,0.81%,1.44%,21.95%,30.79%,52.10%,"($777,772,130.00)","($354,603,602.00)","($737,007,410.00)","($2,634,423,756.50)","($482,402,315.50)","$5,877,473,302.00 ",Large Cap Blend Equities,2000-05-22,0.19%,TD Ameritrade,$3.35 ,2019-12-16,$1.15 ,2.44%,17.88,0.96,765,21.43%,35%,15%,1099,$135.29 ,$137.32 ,$136.80 ,$137.61 ,65.2,A,A,A-,B,B+,B,A,5.03,21.70%,39.31%,320.02,12.79%,4.95%
USMV,iShares Edge MSCI Min Vol USA ETF,Equity,"$37,905,542,832.00 ",1.86%,"3,841,313",$66.82 ,0.69%,No,No,1.83%,3.02%,27.43%,55.61%,82.46%,"($26,238,957.00)","($6,573,431.00)","($84,831,506.00)","$11,810,878,233.00 ","$17,582,350,637.00 ","$24,851,627,724.00 ",Large Cap Growth Equities,2011-10-18,0.15%,Fidelity,$1.23 ,2019-12-16,$0.38 ,1.86%,26.19,0.64,210,14.94%,35%,15%,1099,$64.73 ,$66.52 ,$66.50 ,$67.04 ,72.51,A,A,A,A+,A,B+,B,5.42,40.32%,47.97%,385.45,10.07%,4.82%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$37,033,609,036.00 ",1.17%,"4,924,089",$93.88 ,0.90%,No,No,2.46%,4.00%,24.32%,28.44%,34.06%,"($116,751,244.94)","($53,801,317.28)","$189,332,878.69 ","$2,441,755,537.38 ","$159,197,683.57 ","$6,001,831,699.56 ",Real Estate,2004-09-23,0.12%,2 Platforms,$3.14 ,2019-12-18,$0.96 ,3.38%,34.6,0.54,182,36.88%,35%,15%,1099,$89.87 ,$93.66 ,$93.41 ,$94.22 ,59.82,A+,A,A,A-,B+,A-,A,4.4,59.41%,24.66%,99.96,0.59%,8.46%
EEM,iShares MSCI Emerging Markets ETF,Equity,"$31,576,731,367.00 ",1.81%,"58,177,680",$45.68 ,-0.78%,No,No,1.40%,2.65%,15.59%,33.53%,30.75%,"$967,388,184.00 ",$0.00 ,"$1,528,350,201.00 ","($2,613,332,929.50)","($1,607,147,001.00)","($3,788,138,439.00)",Emerging Markets Equities,2003-04-11,0.68%,N/A,$1.24 ,2019-12-16,$0.93 ,2.70%,12.77,0.92,1214,25.04%,35%,15%,1099,$43.98 ,$46.09 ,$45.55 ,$45.86 ,64.3,A-,A+,B-,B,B,B,A,4.14,30.45%,20.34%,319.97,2.85%,4.30%
VYM,Vanguard High Dividend Yield ETF,Equity,"$29,799,444,851.00 ",0.22%,"1,375,945",$93.92 ,0.06%,No,No,0.84%,1.11%,20.54%,36.20%,62.40%,"($479,350,463.31)","($161,279,666.47)","($340,857,221.57)","$3,977,768,652.59 ","$7,589,307,357.41 ","$12,778,933,326.23 ",Large Cap Blend Equities,2006-11-16,0.06%,2 Platforms,$2.84 ,2019-12-23,$0.78 ,3.03%,17.9,0.88,399,26.60%,35%,15%,1099,$92.80 ,$94.13 ,$93.67 ,$94.17 ,63.39,A+,A,A,B+,A,A-,A-,5.49,40.35%,49.58%,367.14,9.40%,7.04%
VO,Vanguard Mid-Cap Index ETF,Equity,"$29,790,757,483.00 ",1.86%,"509,078",$181.49 ,0.31%,No,No,1.65%,3.22%,26.58%,41.49%,61.91%,"$250,569,527.08 ","$20,146,522.45 ","($522,431,450.75)","$1,345,859,196.92 ","$5,371,500,183.69 ","$11,230,668,479.84 ",Mid Cap Growth Equities,2004-01-30,0.04%,2 Platforms,$2.64 ,2019-12-24,$0.99 ,1.46%,22.1,1.01,337,6.75%,35%,15%,1099,$175.37 ,$181.12 ,$180.63 ,$182.22 ,72.25,A,A,A,A-,A-,A,B-,4.94,86.07%,37.12%,352.19,4.84%,4.82%
VB,Vanguard Small Cap ETF,Equity,"$28,240,458,076.00 ",1.34%,"654,769",$167.86 ,0.23%,No,No,1.30%,2.10%,20.66%,33.58%,58.29%,"$42,527,820.52 ","$6,146,932.82 ","($415,236,938.46)","$949,364,361.28 ","$5,802,785,198.17 ","$10,487,710,892.25 ",Small Cap Growth Equities,2004-01-30,0.05%,2 Platforms,$2.31 ,2019-12-24,$0.89 ,1.38%,20,1.1,1337,3.32%,35%,15%,1099,$163.83 ,$167.47 ,$167.11 ,$168.66 ,68.12,A,A,A,A-,A,A+,A-,3.9,39.25%,17.06%,142.55,4.59%,5.55%
XLK,Technology Select Sector SPDR Fund,Equity,"$27,441,158,342.00 ",3.84%,"8,432,847",$95.19 ,0.12%,No,No,1.80%,6.03%,50.93%,100.02%,154.32%,"$485,673,272.50 ","$272,510,573.50 ","$47,283,376.00 ","$1,019,139,445.00 ","($13,338,777.00)","($724,740,206.65)",Technology Equities,1998-12-16,0.13%,N/A,$1.06 ,2019-12-20,$0.29 ,1.11%,22.73,1.14,71,65.85%,35%,15%,1099,$88.96 ,$95.85 ,$94.82 ,$95.61 ,72.83,A,A+,A,C+,A+,A-,B+,6.15,75.00%,68.50%,22.23,0.33%,5.24%
VGT,Vanguard Information Technology ETF,Equity,"$26,814,596,665.00 ",3.99%,"500,858",$254.61 ,0.08%,No,No,1.80%,6.05%,49.33%,110.15%,165.47%,"$356,116,734.08 ","$144,971,597.96 ","$562,589,272.04 ","$1,459,162,911.03 ","$3,439,697,602.10 ","$5,706,584,151.70 ",Technology Equities,2004-01-30,0.10%,Vanguard,$2.72 ,2019-12-16,$0.65 ,1.07%,26.6,1.19,323,57.50%,35%,15%,1099,$237.61 ,$256.43 ,$253.62 ,$255.79 ,72.87,A+,A,A,B-,A,A-,A+,6,69.77%,63.94%,23.04,0.80%,5.23%
VEU,Vanguard FTSE All-World ex-US ETF,Equity,"$26,291,786,415.00 ",1.02%,"2,345,078",$54.30 ,-0.24%,No,No,0.74%,1.61%,18.22%,29.88%,36.89%,"$6,408,575.45 ","$2,253,605.07 ","$271,165,788.62 ","$349,607,632.24 ","$7,704,972,398.56 ","$11,115,592,072.13 ",Foreign Large Cap Equities,2007-03-08,0.09%,2 Platforms,$1.67 ,2019-12-23,$0.58 ,3.07%,15.1,0.86,1129,10.33%,35%,15%,1099,$53.20 ,$54.47 ,$54.23 ,$54.39 ,64.83,A,A+,A,B,B,A-,A,6.15,16.35%,68.70%,205.54,9.09%,5.82%
XLF,Financial Select Sector SPDR Fund,Equity,"$26,013,674,784.00 ",-0.36%,"39,537,548",$30.67 ,-0.55%,No,No,-0.20%,0.04%,25.75%,37.83%,75.46%,"$1,627,181,475.00 ","$701,637,075.00 ","($645,773,662.00)","($2,700,564,795.50)","($2,783,447,192.00)","$1,691,031,279.80 ",Financials Equities,1998-12-16,0.13%,N/A,$0.57 ,2019-12-20,$0.16 ,1.86%,13.92,1.14,67,55.37%,35%,15%,1099,$30.56 ,$30.95 ,$30.56 ,$30.78 ,56.02,A,A+,A,A-,B+,B-,B+,4.26,30.04%,22.45%,39.71,12.73%,0.24%
IVW,iShares S&P 500 Growth ETF,Equity,"$25,570,036,590.00 ",3.26%,"407,334",$199.95 ,0.30%,No,No,1.53%,4.89%,29.52%,67.59%,95.38%,"($10,195,306.00)","($9,932,240.00)","($3,442,331,411.00)","($1,037,613,565.00)","$545,174,755.00 ","$2,077,926,668.50 ",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$3.15 ,2019-12-16,$1.19 ,1.58%,28.06,0.99,273,39.01%,35%,15%,1099,$189.33 ,$200.77 ,$199.37 ,$200.54 ,72.83,A,A,A-,A,A-,A,A-,5.84,70.66%,59.57%,132.84,12.66%,6.02%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$25,551,209,455.00 ",1.95%,"1,451,291",$74.11 ,0.28%,No,No,1.28%,3.19%,27.45%,50.57%,78.28%,"$124,282,360.50 ","$11,099,049.00 ","$117,755,795.50 ","$4,857,881,516.00 ","$13,692,756,463.50 ","$17,661,271,128.50 ",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.36 ,2019-12-16,$0.45 ,1.84%,22.01,1.01,3664,19.37%,35%,15%,1099,$71.63 ,$74.18 ,$73.89 ,$74.33 ,70.59,A,A-,A,A-,A-,A,A,5.35,36.36%,46.16%,175.35,10.44%,5.38%
DIA,SPDR Dow Jones Industrial Average ETF,Equity,"$23,073,711,421.00 ",1.84%,"2,111,086",$290.35 ,0.39%,No,No,1.03%,2.83%,23.39%,56.04%,87.28%,"$287,023,181.00 ","$317,095,673.00 ","$56,528,725.00 ","($1,227,971,088.00)","$443,760,472.00 ","$2,072,888,784.11 ",Large Cap Growth Equities,1998-01-14,0.17%,N/A,$5.95 ,2019-12-20,$0.87 ,2.06%,19.13,0.98,31,53.98%,35%,15%,1099,$281.89 ,$290.61 ,$289.12 ,$291.41 ,66.55,A-,A+,A-,A,B-,B+,C,5.97,77.23%,63.23%,44.9,12.10%,2.57%
IWB,iShares Russell 1000 ETF,Equity,"$22,484,607,600.00 ",2.05%,"915,952",$182.07 ,0.18%,No,No,1.21%,3.30%,28.29%,51.97%,78.33%,"($280,203,381.00)","($136,692,375.00)","($252,929,586.00)","($776,601,217.50)","$536,079,857.00 ","$5,395,002,387.00 ",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$3.06 ,2019-12-16,$0.84 ,1.68%,22.35,1,998,21.05%,35%,15%,1099,$175.75 ,$182.36 ,$181.56 ,$182.59 ,71.64,A,A,A-,B,B,B+,A,5.5,44.88%,49.78%,176.63,10.91%,5.39%
IWR,iShares Russell Midcap ETF,Equity,"$21,970,116,987.00 ",1.58%,"1,065,719",$60.56 ,0.17%,No,No,1.36%,2.68%,25.50%,38.95%,59.71%,"($5,824,909.00)","($8,984,766.00)","$38,653,001.50 ","$663,605,094.50 ","$2,228,962,171.00 ","$4,115,479,613.00 ",All Cap Equities,2001-07-17,0.19%,N/A,$0.85 ,2019-12-16,$0.26 ,1.41%,21.16,1.01,803,5.56%,35%,15%,1099,$58.85 ,$60.48 ,$60.34 ,$60.79 ,71.03,A-,A,A-,B+,B+,B,A,4.85,83.55%,35.38%,287.05,6.20%,4.94%
SCHF,Schwab International Equity ETF,Equity,"$20,867,685,755.00 ",0.68%,"2,480,483",$33.86 ,-0.06%,No,No,0.71%,1.26%,18.12%,28.63%,36.50%,"$134,681,100.00 ","$67,363,620.00 ","$415,444,002.00 ","$2,717,991,425.00 ","$11,622,105,710.00 ","$16,062,663,510.00 ",Foreign Large Cap Equities,2009-11-03,0.06%,Charles Schwab,$0.99 ,2019-12-12,$0.73 ,2.93%,15,0.84,1350,14.98%,35%,15%,1099,$33.34 ,$33.89 ,$33.81 ,$33.91 ,62.95,A,A,A+,B+,A-,B,A,6.8,47.43%,82.82%,163.58,11.04%,6.36%
XLV,Health Care Select Sector SPDR Fund,Equity,"$20,721,331,605.00 ",2.05%,"7,742,006",$103.95 ,0.86%,No,No,1.58%,2.57%,19.80%,54.00%,61.18%,"$238,834,556.50 ","($15,058,312.00)","$598,116,051.50 ","($907,164,511.50)","$989,467.50 ","$1,650,343,474.99 ",Health & Biotech Equities,1998-12-16,0.13%,N/A,$1.78 ,2019-12-30,$0.67 ,1.73%,17.3,0.9,62,51.74%,35%,15%,1099,$100.85 ,$103.35 ,$103.29 ,$104.41 ,71.85,A,A+,A,B+,B+,A-,B+,5.43,65.57%,48.13%,17.93,0.00%,12.97%
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$20,258,416,486.00 ",2.08%,"880,520",$78.41 ,0.23%,No,No,1.27%,3.33%,28.56%,53.30%,80.13%,"$50,637,853.00 ","$69,980,715.00 ","$160,694,850.50 ","$2,213,624,801.00 ","$7,880,672,401.00 ","$10,701,553,141.00 ",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$1.40 ,2019-12-12,$0.47 ,1.79%,20.78,1,756,21.63%,35%,15%,1099,$75.65 ,$78.52 ,$78.19 ,$78.62 ,71.26,A+,A,A+,B,B+,A-,A,5.55,47.34%,50.92%,177.42,11.10%,5.41%
SDY,SPDR S&P Dividend ETF,Equity,"$19,843,165,901.00 ",-0.10%,"531,064",$107.46 ,0.19%,No,No,0.84%,0.56%,19.67%,34.65%,57.15%,"($155,285,450.50)","($74,840,625.00)","($64,140,436.50)","$165,987,332.50 ","$920,652,585.00 ","$789,067,024.93 ",All Cap Equities,2005-11-15,0.35%,N/A,$2.64 ,2019-12-20,$0.79 ,2.46%,17.09,0.82,113,17.76%,35%,15%,1099,$106.28 ,$107.90 ,$107.10 ,$107.85 ,59.31,B,A,B+,C+,A-,B-,C+,5.64,48.42%,53.70%,201.34,3.26%,7.79%
VXUS,Vanguard Total International Stock ETF,Equity,"$19,343,797,094.00 ",0.84%,"1,532,155",$56.16 ,-0.27%,No,No,0.83%,1.55%,17.80%,29.27%,36.51%,"$369,902,125.28 ","$302,675,474.45 ","$718,935,447.77 ","$6,431,985,241.94 ","$10,804,427,526.77 ","$14,063,236,405.72 ",Foreign Large Cap Equities,2011-01-26,0.09%,Vanguard,$1.71 ,2019-12-23,$0.63 ,3.03%,15.1,0.85,1082,9.12%,35%,15%,1099,$55.02 ,$56.35 ,$56.08 ,$56.25 ,64.85,A,A,A+,B+,B,A-,A,6.09,15.00%,66.89%,208.54,8.36%,5.65%
MDY,SPDR S&P MidCap 400 ETF,Equity,"$19,233,700,234.00 ",0.71%,"877,920",$378.03 ,0.14%,No,No,1.19%,1.59%,19.45%,28.18%,55.75%,"($75,042,549.75)","($9,656,161.25)","($570,493,896.75)","($1,532,346,059.23)","($4,382,650,723.70)","($2,812,650,119.97)",Small Cap Growth Equities,1995-05-04,0.24%,N/A,$5.04 ,2019-12-20,$1.45 ,1.34%,18.87,1.06,400,6.32%,35%,15%,1099,$371.32 ,$377.82 ,$376.44 ,$379.58 ,65.25,B+,A+,B,B,C,B-,B,4.21,55.93%,21.50%,189.61,5.27%,5.18%
DVY,iShares Select Dividend ETF,Equity,"$18,646,865,600.00 ",0.29%,"558,320",$105.97 ,0.09%,No,No,1.19%,0.79%,19.18%,31.86%,58.52%,"($110,379,621.50)","($73,672,872.50)","($268,216,366.50)","($606,412,146.00)","($1,259,523,103.50)","($1,660,036,532.00)",Large Cap Value Equities,2003-11-03,0.39%,Fidelity,$3.60 ,2019-12-16,$0.89 ,3.40%,14.91,0.74,101,18.94%,35%,15%,1099,$104.41 ,$106.11 ,$105.57 ,$106.33 ,63.92,B+,A,B,C+,B,A-,B-,4.94,19.30%,37.14%,836.89,16.38%,3.61%
IXUS,iShares Core MSCI Total International Stock ETF,Equity,"$18,600,727,966.00 ",0.92%,"920,564",$62.47 ,-0.29%,No,No,0.74%,1.66%,17.80%,30.12%,36.84%,"$123,828,040.00 ",$0.00 ,"$123,828,040.00 ","$3,679,765,126.00 ","$13,074,652,575.00 ","$15,630,531,885.00 ",Foreign Large Cap Equities,2012-10-18,0.09%,Fidelity,$1.91 ,2019-12-16,$0.98 ,3.06%,14.83,0.84,4354,9.08%,35%,15%,1099,$61.19 ,$62.69 ,N/A,N/A,65.05,A,A,A,B+,B+,A-,A,6.09,15.14%,67.05%,204.23,8.63%,5.98%
IAU,iShares Gold Trust,Commodity,"$18,125,560,473.00 ",2.62%,"15,299,211",$14.88 ,0.68%,No,No,-0.20%,5.53%,20.49%,28.83%,25.25%,"$176,712,716.80 ","$19,168,514.56 ","$99,646,755.84 ","$3,641,035,954.79 ","$7,472,417,246.00 ","$9,005,935,096.00 ",Precious Metals,2005-01-28,0.25%,N/A,$0.00 ,N/A,N/A,0.00%,0,-0.2,1,100.00%,35%,28%,1099,$13.94 ,$15.20 ,$14.82 ,$14.91 ,64.92,A,A,A+,B+,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
